INFO:__main__:Bot has started Running
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 1
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;1;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 2
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;2;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 3
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;3;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 4
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;4;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 5
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;5;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 6
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;6;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 7
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;7;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 8
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;8;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 9
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;9;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 10
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;10;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 11
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;11;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 12
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;12;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 13
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;13;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 14
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;14;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 15
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;15;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 16
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;16;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 17
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;17;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 18
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;18;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 19
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;19;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 20
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;20;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 21
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;21;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 22
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;22;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 23
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;23;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 24
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;24;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 25
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;25;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 26
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;26;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 27
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;27;ACCELERATE;
INFO:__main__:Waiting for next round.
INFO:__main__:Starting Round : 28
INFO:__main__:Beginning StarterBot Logic Sequence
INFO:__main__:Writing command : C;28;ACCELERATE;
